"","year","barrier_mean","penetration_mean","barrier total.containeers_mean","barrier total.enclosed openings in earth_mean","barrier total.protective surfaces_mean","barrier total.covered hidden etc_mean","barrier total.special structures_mean","barrier total.shell animal_mean","barrier total.__mean","penetration total.entranceways and openings_mean","penetration total.permeable_mean","penetration total.body orifices and use_mean","penetration total.autopsy etc_mean","penetration total.wounds and deformity_mean","penetration total.spurt and excrete_mean","penetration total.transparency_mean","work_mean","leisure_mean","home_mean","money_mean","relig_mean","death_mean","negemo_mean","posemo_mean","anx_mean","anger_mean","sad_mean","insight_mean","cause_mean","discrep_mean","tentat_mean","certain_mean","see_mean","hear_mean","feel_mean","body_mean","health_mean","sexual_mean","ingest_mean","barrier_sd","penetration_sd","barrier total.containeers_sd","barrier total.enclosed openings in earth_sd","barrier total.protective surfaces_sd","barrier total.covered hidden etc_sd","barrier total.special structures_sd","barrier total.shell animal_sd","barrier total.__sd","penetration total.entranceways and openings_sd","penetration total.permeable_sd","penetration total.body orifices and use_sd","penetration total.autopsy etc_sd","penetration total.wounds and deformity_sd","penetration total.spurt and excrete_sd","penetration total.transparency_sd","work_sd","leisure_sd","home_sd","money_sd","relig_sd","death_sd","negemo_sd","posemo_sd","anx_sd","anger_sd","sad_sd","insight_sd","cause_sd","discrep_sd","tentat_sd","certain_sd","see_sd","hear_sd","feel_sd","body_sd","health_sd","sexual_sd","ingest_sd"
"1",1560,0,0.666666666666667,0,0,0,0,0,0,0,0,0.333333333333333,0.333333333333333,0,0,0,0,2,0.333333333333333,0,0.666666666666667,10,0.666666666666667,10.3333333333333,23.6666666666667,1,1.66666666666667,4,17.3333333333333,5,9,19.3333333333333,9.33333333333333,3.66666666666667,1.66666666666667,3,0.666666666666667,3.33333333333333,1,0.666666666666667,0,0.577350269189626,0,0,0,0,0,0,0,0,0.577350269189626,0.577350269189626,0,0,0,0,1.73205080756888,0.577350269189626,0,1.15470053837925,4.35889894354067,0.577350269189626,1.52752523165195,4.04145188432738,1,1.15470053837925,1,0.577350269189626,2.64575131106459,1.73205080756888,2.08166599946613,2.3094010767585,2.3094010767585,0.577350269189626,3,0.577350269189626,1.15470053837925,0,0.577350269189626
"2",1561,0.5,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,5,0.5,1.5,5,9,1,8,19,3,0.5,2.5,8,4,10,10.5,9,0.5,3,1,0.5,1.5,0.5,0.5,0.707106781186548,0,0,0,0,0,0.707106781186548,0,0,0,0,0,0,0,0,0,4.24264068711928,0.707106781186548,0.707106781186548,0,4.24264068711928,0,0,5.65685424949238,1.4142135623731,0.707106781186548,0.707106781186548,1.4142135623731,2.82842712474619,4.24264068711928,0.707106781186548,1.4142135623731,0.707106781186548,1.4142135623731,1.4142135623731,0.707106781186548,0.707106781186548,0.707106781186548,0.707106781186548
"3",1562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,1,19,0,4,23,1,1,1,10,5,12,11,10,2,0,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1563,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,8,1,4,16,3,0,1,10,10,6,10,7,7,2,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1566,0.588571428571429,0.828571428571429,0.291428571428571,0.0628571428571429,0.0342857142857143,0.108571428571429,0.0857142857142857,0,0.00571428571428571,0.0514285714285714,0.171428571428571,0.365714285714286,0,0.188571428571429,0.0457142857142857,0.00571428571428571,3.72,1.16,0.64,1.83428571428571,12.5942857142857,0.662857142857143,8.98285714285714,21.1428571428571,1.54285714285714,1.89714285714286,2.38285714285714,13.1942857142857,8.06285714285714,11.1314285714286,13.4,8.04,2.42285714285714,4.02285714285714,1.01714285714286,1.42285714285714,1.94857142857143,2.33142857142857,1.08,1.04049375673267,1.17164081540735,0.82398367512963,0.34163712876444,0.211647691894811,0.3630739044582,0.280744962537439,0,0.0755928946018454,0.246085944910371,0.46024195821168,0.866338197196212,0,0.495828245065032,0.209464090608666,0.0755928946018454,2.598938775466,1.68072234060445,1.07831285844585,1.95082400172704,5.01159247278752,1.28900873308031,5.09165904100219,6.74895844302522,1.56364695178271,2.00021345330565,2.08352675620986,5.15807272978137,3.36847160968022,4.23448971186242,4.689190308265,3.67401562389134,2.54014726180559,2.93601161503365,1.35813549386813,1.75955286154693,2.17421824087397,3.84676094741216,2.87965515176791
"6",1568,0.846153846153846,1.30769230769231,0.538461538461538,0.153846153846154,0,0.153846153846154,0,0,0,0,1,0.307692307692308,0,0,0,0,2.46153846153846,1.23076923076923,1.07692307692308,2,10.3846153846154,0.538461538461538,6.30769230769231,16.3846153846154,1.30769230769231,1.38461538461538,1.38461538461538,8.38461538461539,7.53846153846154,10.7692307692308,10.6923076923077,6,2.15384615384615,3.53846153846154,1.07692307692308,0.615384615384615,1.61538461538462,0.769230769230769,0.692307692307692,1.14354374979373,1.25064086135971,0.967417922046845,0.554700196225229,0,0.375533808099405,0,0,0,0,1.15470053837925,0.480384461415261,0,0,0,0,2.06621169516358,1.58922654950168,1.18754217199071,1.77951304200522,3.4770308583249,0.660225291773525,2.92644879745103,4.61046746614812,1.18213192894698,1.38675049056307,1.04390784542678,3.50091563114712,2.78733398953745,3.11324712997662,3.79439532698372,2.67706306736817,0.898717034272917,2.02547873416733,0.862316498502576,0.650443635587991,1.85015591858549,0.926808695996298,0.630425171956115
"7",1569,0.230769230769231,2,0.0769230769230769,0.0769230769230769,0,0,0.0769230769230769,0,0,0,1.07692307692308,0.307692307692308,0,0.384615384615385,0.230769230769231,0,2.76923076923077,0.538461538461538,1.38461538461538,1.76923076923077,9.61538461538461,0.384615384615385,6.92307692307692,14.9230769230769,2.46153846153846,0.923076923076923,1.46153846153846,9.23076923076923,7.76923076923077,11,9.84615384615385,6.30769230769231,2.69230769230769,3.07692307692308,0.846153846153846,0.923076923076923,1.61538461538462,0.384615384615385,0.307692307692308,0.438529009653515,1.52752523165195,0.277350098112615,0.277350098112615,0,0,0.277350098112615,0,0,0,1.25575597825496,0.630425171956115,0,0.869718492622904,0.599144689515278,0,1.87766904049703,0.776250025806185,2.18091958962504,2.58694949550773,2.98715197522271,0.506369683541833,2.84199280029403,4.09189317353102,2.06621169516358,1.03774904332554,1.12660142429822,3.6321216516394,4.12621388510594,5,3.89114708550392,2.21301511459725,1.37747446344239,2.01913919206257,0.800640769025436,1.03774904332554,2.02231144726612,0.650443635587991,0.630425171956115
"8",1570,0.333333333333333,0.888888888888889,0,0.333333333333333,0,0,0,0,0,0,0.666666666666667,0,0,0,0.222222222222222,0,3.88888888888889,0.222222222222222,1.33333333333333,2.11111111111111,13.2222222222222,0.111111111111111,5.44444444444444,16.5555555555556,1.22222222222222,0.888888888888889,1.22222222222222,8.44444444444444,7,11,10.7777777777778,7.88888888888889,1.77777777777778,3.55555555555556,1.77777777777778,1.66666666666667,1.55555555555556,0.888888888888889,0.222222222222222,0.707106781186548,1.36422546197874,0,0.707106781186548,0,0,0,0,0,0,1.3228756555323,0,0,0,0.666666666666667,0,1.69148192751537,0.440958551844098,1.3228756555323,1.45296631451356,4.63081466314993,0.333333333333333,3.46810867444747,7.85988408170106,1.092906420717,1.61589328580544,1.092906420717,2.06827894099848,3.39116499156263,5.61248608016091,6.74124947205223,3.01846171271247,1.20185042515466,2.12785755580062,1.71593835683117,2.12132034355964,0.881917103688197,0.781735959970572,0.440958551844098
"9",1571,0.588235294117647,1.35294117647059,0,0.411764705882353,0.117647058823529,0.0588235294117647,0,0,0,0,0.235294117647059,0.705882352941177,0,0.176470588235294,0.235294117647059,0,2.58823529411765,0.470588235294118,1.17647058823529,2.64705882352941,11.2941176470588,0.352941176470588,7.52941176470588,17.2352941176471,1.41176470588235,0.882352941176471,2.11764705882353,11.9411764705882,7.35294117647059,8.64705882352941,10.5882352941176,6.05882352941176,3.52941176470588,2.29411764705882,1.82352941176471,1.29411764705882,2.64705882352941,0.882352941176471,1.23529411764706,0.939336436627724,2.78256124080379,0,0.795206225564457,0.485071250072666,0.242535625036333,0,0,0,0,0.752446988556825,1.7594283831103,0,0.392952623996688,0.970142500145332,0,1.8391174353957,1.06757008311068,1.55061657565817,2.20627447495173,5.14495755427526,0.606339062590832,3.26185620197349,6.31000605947318,1.00366973710303,0.927520413601263,1.7278003697323,3.0097879542273,2.23442320495101,3.35300567533423,3.20271024933204,3.64812602981473,1.54586735600211,1.26316595714661,1.4677914581799,1.72353944988042,2.2896827419587,0.857492925712544,2.33263294810569
"10",1572,0.555555555555556,0.666666666666667,0.277777777777778,0.111111111111111,0.0555555555555556,0.0555555555555556,0,0,0.0555555555555556,0.0555555555555556,0.555555555555556,0.0555555555555556,0,0,0,0,3.11111111111111,1.11111111111111,1.33333333333333,2.11111111111111,11.8333333333333,0.388888888888889,6.16666666666667,15.7777777777778,1.38888888888889,0.833333333333333,1.61111111111111,10.5,7.66666666666667,10.5555555555556,11.1666666666667,7.16666666666667,1.94444444444444,2,1.38888888888889,0.722222222222222,1.33333333333333,0.555555555555556,0.166666666666667,1.09663776110663,0.685994340570035,0.574513149960142,0.323380833381777,0.235702260395516,0.235702260395516,0,0,0.235702260395516,0.235702260395516,0.615698763455199,0.235702260395516,0,0,0,0,2.16628955994261,1.49071198499986,1.68033610083361,1.52966312665428,4.11953738122306,0.697802339187225,2.7493314695416,4.91762204077822,1.37793062614107,0.707106781186548,1.03690086251908,2.43141208064005,3.39549875050866,3.36455962020418,4.25993648116136,3.34751883533778,1.1617543641469,1.37198868114007,1.37793062614107,0.826442094733631,1.37198868114007,0.921777197924954,0.514495755427527
"11",1573,0.78,0.76,0.22,0.06,0.1,0.2,0.18,0,0.02,0.02,0.12,0.18,0,0.3,0.1,0.04,3.24,0.7,0.6,2.1,13.5,0.8,9.68,18.12,2.18,1.62,2.78,12.72,8,10.84,12.86,8.06,4.4,3.42,1.46,2.24,2.04,1.02,0.56,1.26636229783887,1.23816849600117,0.736511357408585,0.313635691430002,0.364215679542342,0.494871659305394,0.522552604519197,0,0.14142135623731,0.14142135623731,0.328260722659316,0.481917936955229,0,1.0546302185881,0.303045763365663,0.197948663722157,2.70720881939992,1.41781666009137,1.51185789203691,2.92246750649697,5.17943342579523,1.35526185435788,4.98749456549241,5.72013985843004,1.87017406152694,1.52382440468924,2.33246825557505,5.54771510237709,3.01695886884898,4.32061975902078,5.33379674857432,3.0264817588637,4.24264068711928,2.71120125496024,1.71678389402263,2.65391509022471,2.70268196351668,1.16916156946344,1.05288718701076
"12",1574,0.724489795918367,1.13265306122449,0.142857142857143,0.163265306122449,0.0612244897959184,0.193877551020408,0.163265306122449,0,0,0.102040816326531,0.795918367346939,0.0612244897959184,0,0.112244897959184,0.0612244897959184,0,3.64285714285714,1,1.71428571428571,1.89795918367347,13.6122448979592,0.673469387755102,6.41836734693878,17.1734693877551,1.37755102040816,0.887755102040816,1.98979591836735,10.8877551020408,8.74489795918367,9.09183673469388,10.1326530612245,6.70408163265306,2.63265306122449,3.05102040816327,1.06122448979592,0.979591836734694,2.08163265306122,0.877551020408163,0.551020408163265,1.10089572008104,1.37456838663146,0.430774895170643,0.550423970629659,0.280512290213953,0.446248122588239,0.531364273114677,0,0,0.486726831627486,1.05477982921213,0.240974248126322,0,0.376709931374766,0.346300820621521,0,2.54546291336153,1.33933357793706,1.75863114528165,1.93443987960375,5.23988009043023,1.24995266058055,4.04338194005335,5.61666428907467,1.84734585938156,1.1566272783642,1.71407092419743,4.05346397124864,3.93061267092826,3.80202532758875,3.96020866653719,2.9644254451869,2.08770458026874,2.42993550879417,1.25028925750616,1.45005930797113,2.63079882575677,1.41614625986472,1.16762556647957
"13",1575,0.396551724137931,0.810344827586207,0.206896551724138,0.0862068965517241,0.0344827586206897,0.0517241379310345,0.0172413793103448,0,0,0.0172413793103448,0.620689655172414,0.0344827586206897,0,0.0344827586206897,0.103448275862069,0,3.3448275862069,0.620689655172414,1.18965517241379,1.6551724137931,11.0344827586207,0.448275862068966,6.03448275862069,16.7413793103448,1.51724137931034,0.793103448275862,1.6551724137931,11.5,7.91379310344828,10.6724137931034,11.3103448275862,7.18965517241379,2.3448275862069,3.25862068965517,1.10344827586207,0.862068965517241,1.91379310344828,0.689655172413793,0.0862068965517241,0.699364502819519,1.08347874681386,0.521758857040474,0.339477553123046,0.184059224009919,0.2915424072011,0.131306432859723,0,0,0.131306432859723,1.04003350497475,0.184059224009919,0,0.184059224009919,0.359807705583101,0,2.70510708766157,0.790904128572396,1.27674059451187,1.64957968211502,5.51859859289676,0.939809868660518,3.21708987621225,4.9295398341434,1.35389469789735,0.968967993055936,1.50498264998953,4.38998061778881,3.47565206684676,4.47365752100505,3.30447276125633,3.71557601754637,1.90614632948289,2.34378869195729,1.33363577936951,1.16149141664921,1.70946265034778,0.977050637983162,0.339477553123046
"14",1576,0.574626865671642,1.08208955223881,0.246268656716418,0.111940298507463,0.0447761194029851,0.0970149253731343,0.0298507462686567,0.00746268656716418,0.0373134328358209,0.0522388059701493,0.67910447761194,0.17910447761194,0,0.0970149253731343,0.0597014925373134,0.0149253731343284,3.52985074626866,0.880597014925373,1.17910447761194,2.7089552238806,10.6119402985075,0.283582089552239,5.90298507462687,17.5746268656716,1.12686567164179,0.805970149253731,1.72388059701493,11.2089552238806,6.75373134328358,10.8134328358209,11.0298507462687,6.52985074626866,2.16417910447761,2.64925373134328,1.20149253731343,0.858208955223881,2.26865671641791,0.746268656716418,0.455223880597015,1.13969304449215,1.30958586958429,0.66532333893078,0.33940345192094,0.241102469146288,0.344001289232473,0.170813995810801,0.086386842558136,0.226337841101401,0.223343162211952,0.946705774561887,0.51810450173362,0,0.43991460184724,0.26757597557427,0.121709294154942,2.07994468733374,1.06935984026003,1.3647040840866,2.76341465480137,4.9930936479161,0.800488011853028,2.76081442431212,5.20609369046114,1.05788583171722,0.905103424824229,1.26486226802142,4.24985559571689,2.8691686652298,3.96823460387549,3.8854660716698,2.58884332318353,1.45195760957792,1.7991537805629,1.20012437166432,1.40435940537601,2.19419664886763,0.963129041894719,0.89791464036417
"15",1577,0.648648648648649,0.941441441441441,0.18018018018018,0.0585585585585586,0.0630630630630631,0.0855855855855856,0.202702702702703,0.00900900900900901,0.0495495495495495,0.0405405405405405,0.509009009009009,0.157657657657658,0,0.171171171171171,0.045045045045045,0.018018018018018,3.42342342342342,0.914414414414414,0.653153153153153,1.77927927927928,13.9189189189189,0.684684684684685,9.08558558558559,18.6171171171171,2.28378378378378,1.22522522522523,2.52252252252252,12.8198198198198,7.63063063063063,10.027027027027,13.018018018018,7.26126126126126,2.42792792792793,3.15765765765766,1.54054054054054,1.36936936936937,2.13513513513514,0.945945945945946,0.468468468468468,1.07331809835064,1.32882886337522,0.440036983188599,0.235327236672861,0.261540140081466,0.280383333864428,0.711503342393419,0.134231211042805,0.288975056893469,0.219369057564874,0.896150596340361,0.535955956444918,0,0.621978653718096,0.20787167061898,0.133317026437494,2.26141968603175,1.13634699681341,1.09356983773906,1.58354760194413,5.16801008491083,1.20317815926479,5.07650691974478,5.42178234329604,2.09623841259786,1.63770441194352,2.46366113483028,5.0664332294767,2.9272566123785,3.86294488151686,4.19433356601765,2.87511309779265,2.15501818539833,2.4929602077056,1.89442518071244,2.05105834253621,2.07979500593778,1.46041485358656,1.15980822115598
"16",1578,0.476744186046512,1.19767441860465,0.0697674418604651,0.174418604651163,0.0697674418604651,0.0930232558139535,0.0697674418604651,0,0,0.0116279069767442,0.965116279069767,0.0930232558139535,0,0.104651162790698,0.0232558139534884,0,3.66279069767442,0.802325581395349,0.918604651162791,2.17441860465116,9.80232558139535,0.441860465116279,7.1046511627907,18.1046511627907,1.56976744186047,1.09302325581395,2,10.4186046511628,6.36046511627907,11.8372093023256,10.8488372093023,7.80232558139535,2.34883720930233,2.62790697674419,1.32558139534884,0.965116279069767,1.53488372093023,0.697674418604651,0.27906976744186,0.76276191931299,1.13572746774257,0.256248853055389,0.489702441827839,0.256248853055389,0.292168644963595,0.256248853055389,0,0,0.107832773203438,1.11088384968753,0.292168644963595,0,0.307898752168415,0.151598865900345,0,2.52335194960186,0.851569726230337,1.0540132411164,1.94749830757378,4.38398091301625,0.776184501456295,3.59093325496129,4.87497588474866,1.55329401538202,1.31621477754555,1.72183212955065,3.36579722670161,2.68728067536321,4.77951625688153,3.39382637380588,3.09390203822962,1.62167264311349,1.97064642501422,1.34113087017782,1.28747518005641,1.80650897927535,0.895344395675376,0.625932956204955
"17",1579,0.466666666666667,0.916666666666667,0.1,0.233333333333333,0.0166666666666667,0.0666666666666667,0.0166666666666667,0,0.0333333333333333,0.0333333333333333,0.75,0.0333333333333333,0,0.05,0.05,0,3.2,0.766666666666667,1.33333333333333,2.91666666666667,11.8833333333333,0.416666666666667,6.73333333333333,18.3166666666667,1.26666666666667,1,1.91666666666667,9.81666666666667,6.38333333333333,11.1166666666667,11.35,7.13333333333333,1.68333333333333,2.3,1,0.816666666666667,1.6,0.716666666666667,0.183333333333333,0.72408133887757,1.13930794733911,0.354152126654012,0.532555930592308,0.129099444873581,0.251548874293232,0.129099444873581,0,0.181020334719393,0.181020334719393,1.08338765617821,0.181020334719393,0,0.219784177651083,0.219784177651083,0,1.90271883972668,0.92730092507757,1.49197476539148,2.45841113541541,5.17193097947925,0.645497224367903,3.66784778100629,4.42830520692169,1.21942841106705,1.05765971266595,1.42961019538001,3.57719550536671,2.64953892161922,3.56580590489898,3.57403536825803,2.60681419092131,1.33393348075286,1.66010005824644,1.22128023963741,1.15702228369714,1.52048163644934,0.884741974578985,0.469101798307298
"18",1580,0.408450704225352,1.12676056338028,0.126760563380282,0.197183098591549,0,0.0422535211267606,0.0422535211267606,0,0,0,0.887323943661972,0.0563380281690141,0,0.0704225352112676,0.0985915492957746,0.0140845070422535,2.76056338028169,0.732394366197183,1.1830985915493,3.33802816901408,10.5211267605634,0.816901408450704,5.40845070422535,16.9718309859155,1.22535211267606,0.422535211267606,2.04225352112676,9.94366197183099,6.67605633802817,10.6338028169014,11.5070422535211,5.97183098591549,2.08450704225352,2.38028169014085,1.23943661971831,0.943661971830986,2.36619718309859,0.619718309859155,0.309859154929577,0.80316276216917,1.4135020083344,0.630862843703283,0.466590009992228,0,0.202598809636177,0.202598809636177,0,0,0,1.37891567933077,0.287219375772098,0,0.257678851173418,0.511438575489759,0.118678165819385,2.03866054578136,0.792063245650664,1.38677281232291,2.85828950833901,4.56026050299002,1.25709255432559,2.85145308715565,5.14079435492197,1.13637497707895,0.710371569391398,1.32488942631138,3.02790509354788,2.64453424409843,3.90691488305293,3.46357882393597,2.67780203571039,1.3282263025042,1.78378567885509,1.33592973224529,1.45295092772961,2.17281539955961,0.834372256474438,0.919495969008093
"19",1581,0.540229885057471,0.873563218390805,0.160919540229885,0.160919540229885,0.0344827586206897,0.0689655172413793,0.0804597701149425,0,0.0344827586206897,0.0919540229885057,0.517241379310345,0.114942528735632,0,0.0804597701149425,0.0689655172413793,0,3.19540229885057,0.67816091954023,1.6551724137931,2.29885057471264,11.6206896551724,0.344827586206897,5.67816091954023,17.7586206896552,1.06896551724138,0.689655172413793,1.90804597701149,10.3793103448276,7.27586206896552,11.551724137931,11.7241379310345,6.44827586206897,2.36781609195402,2.31034482758621,1.28735632183908,0.781609195402299,2.25287356321839,1.10344827586207,0.379310344827586,0.886652939379581,1.06535939673557,0.454270773120409,0.454270773120409,0.183523388159667,0.25486446230487,0.313212566374388,0,0.238614014582321,0.328215184237201,0.887406319530271,0.355203425381616,0,0.313212566374388,0.25486446230487,0,1.71748247653476,1.07286025958393,1.92793169211534,1.9416783828762,4.58572451050945,0.679048345829911,3.84736168397152,5.76671587897907,1.23696086163456,1.11345204706204,1.66797596260109,3.80709673706315,2.8147851137463,5.01569309521035,3.52957489756174,2.60481941832539,1.56350041483202,2.26864545605802,1.22861281180275,0.95753179990089,2.18460996893862,1.3896166675593,0.766165009101049
"20",1582,0.575,0.975,0.1,0.175,0.075,0.125,0.075,0,0.025,0.05,0.7,0.125,0,0.025,0.05,0.025,3.15,0.625,2.175,3.05,12.575,0.525,5.45,17.5,1.25,0.75,1.575,8.575,6.775,11.375,10.725,6.625,2.425,1.95,1.225,0.9,2.1,0.5,0.325,0.843907274041104,1.12061109702217,0.378932373372537,0.446496331853885,0.266746782836918,0.334932063528542,0.266746782836918,0,0.158113883008419,0.316227766016838,0.853349358823881,0.40430377003132,0,0.158113883008419,0.220721427863152,0.158113883008419,2.20198046056679,0.837808496568922,1.64686960236064,3.0462250703924,4.66787987892818,1.21923683570439,2.50076911246243,4.27874891851489,1.10360713931576,0.869718492622904,1.39389695384871,3.49275807555562,2.32585798891837,4.55556858451337,2.71734693386295,2.19191404473058,1.29866795661495,1.39504618065276,1.04972523877588,0.955416408075826,1.35495292755779,0.679366220486757,0.655841600638603
